"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","2001","-","-","-","-","-","-","-","-","-","-","-"
"2","2002","-","-","-","-","-","-","-","-","-","-","-"
"3","2003","4.1","8.9","-0.6","0.00","3.3","0","0","0","0","0","0"
"4","2004","-","-","-","-","-","-","-","-","-","-","-"
"5","2005","-","-","-","-","-","-","-","-","-","-","-"
"6","2006","4.8","9.9","-0.4","-","5.2","137","74","0","0","0","0"
"7","2007","4.3","9.5","-1.1","-","5.3","158","90","0","0","0","0"
"8","2008","4.6","9.3","-0.4","-","5.1","172","86","0","0","0","0"
"9","2009","3.8","8.6","-1.0","-","4.9","152","88","0","0","0","0"
"10","2010","1.4","6.5","-4.0","-","4.7","114","98","0","0","0","0"
"11","2011","4.6","9.9","-0.7","-","5.1","156","74","0","0","0","0"
"12","2012","-","-","-","-","-","164","100","0","0","0","0"
"13","2013","-","-","-","-","-","-","-","-","-","-","-"
"14","2014","-","-","-","-","-","-","-","-","-","-","-"
"15","2015","4.7","9.6","-0.5","-","6.0","164","63","0","0","0","0"
"16","2016","-","-","-","-","-","-","-","-","-","-","-"
